ID,Term,Language_Type,Major1,Major2,Major3,Minors
358753,1201,B,PSYC,,,
368741,1201,B,COL,ENGL,,
362151,1201,B,GOVT,UNIV,,IDEA-MN
358704,1201,B,ANTH,,,IDEA-MN
358761,1201,B,SOC,,,
362306,1201,B,NS&B,PSYC,,DATA-MN
362602,1201,B,ECON,,,DATA-MN
368269,1201,B,AMST,GOVT,,
369745,1201,B,FGSS,PSYC,,
358643,1201,B,ANTH,ENVS,,
368690,1201,B,ECON,,,
362214,1201,B,BIOL,SISP,,
356343,1201,B,ENGL,,,
362221,1201,B,PSYC,,,EDST-MN
365572,1201,B,COL,,,
358670,1201,B,HIST,,,
360057,1201,B,GOVT,,,
360054,1201,C,FGSS,GOVT,,CEAS-MN
360084,1201,C,CEAS,PSYC,,
362192,1201,C,COMP,,,CEAS-MN
362263,1201,C,SOC,,,CEAS-MN
367772,1201,C,CEAS,,,
367827,1201,C,DANC,ENGL,,CBST-MN
358875,1201,C,MATH,,,
355872,1201,C,COMP,ENGL,,
358617,1201,D,SOC,,,
358732,1201,D,ECON,ITST,,
360059,1201,D,ITST,NS&B,,
365548,1201,D,FILM,ITST,,
376911,1201,D,,,,
376912,1201,D,,,,
376913,1201,D,,,,
335472,1201,D,MATH,REES,,
358802,1201,D,SISP,,,
362441,1201,D,GOVT,HISP,,
358758,1201,D,BIOL,GRST,,
360118,1201,D,ECON,GRST,,DATA-MN
362364,1201,D,NS&B,,,CHEM-MN
365406,1201,D,COL,GRST,,
358706,1201,D,GOVT,,,
358722,1201,D,ECON,GOVT,,
358733,1201,D,FILM,,,
358734,1201,D,ENGL,FILM,,
358774,1201,D,GOVT,HISP,,ECON-MN
358790,1201,D,GOVT,HISP,,DATA-MN
360049,1201,D,ARHA,RMST,,
360061,1201,D,AMST,,,
360062,1201,D,SISP,,,
360096,1201,D,HISP,PSYC,,
360210,1201,D,CHEM,HISP,,
362191,1201,D,GOVT,PHIL,,
362275,1201,D,HISP,HIST,,
362295,1201,D,COMP,ECON,MATH,
362393,1201,D,PSYC,,,DATA-MN
362408,1201,D,PSYC,,,
362448,1201,D,AMST,ENVS,,
362629,1201,D,CIS,NS&B,,CHEM-MN
365421,1201,D,COL,HISP,,
366997,1201,D,COL,HISP,,
367750,1201,D,SISP,,,IDEA-MN
368845,1201,D,COL,ENGL,,
368882,1201,D,COL,HISP,,
898932,1201,D,FGSS,HISP,,
360010,1201,D,FRST,MUSC,,
362257,1201,D,ENVS,GOVT,,FILM-MN
368943,1201,D,COL,FRST,,
355358,1209,A,FILM,PHYS,,
335848,1209,A,COMP,,,
339474,1209,A,MATH,,,
355313,1209,A,ECON,MATH,,CEAS-MN
356428,1209,A,COMP,ECON,MATH,
356441,1209,A,MATH,,,CEAS-MN
360026,1209,A,COMP,MATH,,
362308,1209,A,ECON,,,
362496,1209,A,ECON,THEA,,DATA-MN
368595,1209,A,ENVS,GOVT,,CIVI-MN
356710,1209,B,ECON,,,
367153,1209,B,ECON,,,CEAS-MN
368842,1209,B,ECON,MATH,,
378562,1209,B,,,,
379791,1209,B,,,,
355358,1211,A,PHYS,,,FILM-MN
335848,1211,A,COMP,,,
339474,1211,A,MATH,,,
355313,1211,A,MATH,,,CEAS-MN
356428,1211,A,MATH,,,
356441,1211,A,MATH,,,CEAS-MN
360026,1211,A,COMP,MATH,,
362308,1211,A,ECON,,,
362496,1211,A,ECON,THEA,,DATA-MN
368705,1211,A,PSYC,THEA,,FILM-MN
371713,1219,A,ARCP,CCIV,,ENVS-MN
368803,1219,A,COMP,MUSC,,
